Headline
Waymo has received our pilot permit allowing for commercial operations at SFO
waymo.com
Things you can do with a Software Defined Radio (2024)
blinry.org
Bertrand Russell to Oswald Mosley (1962)
lettersofnote.com
Plugin System
iina.io
Launch HN: Rowboat (YC S24) – Open-source IDE for multi-agent systems
github.com/rowboatlabs
UTF-8 history (2003)
cat-v.org
CIA Freedom of Information Act Electronic Reading Room
cia.gov
A new experimental Google app for Windows
blog.google
Self Propagating NPM Malware
stepsecurity.io
Implicit ODE Solvers Are Not Universally More Robust Than Explicit ODE Solvers
stochasticlifestyle.com
"Scammed out of $130K via fake Google call, spoofed Google email and auth sync"
bewildered.substack.com
Development of the MOS Technology 6502: A Historical Perspective (2022)
embeddedrelated.com
Generative AI as Seniority-Biased Technological Change
ssrn.com
Microsoft Favors Anthropic over OpenAI for Visual Studio Code
theverge.com
"Teen safety, freedom, and privacy"
openai.com
"60 years after Gemini, newly processed images reveal details"
arstechnica.com
Writing an operating system kernel from scratch – RISC-V/OpenSBI/Zig
popovicu.com
Will I run Boston 2026?
getfast.ai
Robert Redford has died
nytimes.com
Java 25 Officially Released
openjdk.org
Scientists uncover extreme life inside the Arctic ice
stanford.edu
Migrating to React Native's New Architecture
shopify.engineering
"After escaping Russian energy dependence, Europe is locking itself in to US LNG"
davekeating.substack.com
Learn x86-64 assembly by writing a GUI from scratch (2023)
gaultier.github.io
"""Your"" vs. ""My"" in user interfaces"
adamsilver.io
William Gibson Reads Neuromancer (2004)
bearcave.com
Adding FRM parser utility to MariaDB
hp77-creator.github.io
The Japanese landscapes that inspired Studio Ghibli films
bbc.com
Word numbers: Billion approaches (2008)
rutgers.edu
Trucker built a scale model of NYC over 21 years
gothamist.com
